sentence,phonetic,audio_url,difficulty
"He ran into the room.","/ˈhi ˈɹæn ˈɪntu ˈðə ˈɹum/","https://audio.tatoeba.org/sentences/eng/303395.mp3","pending"
"He seems to be happy.","/ˈhi ˈsimz ˈtu ˈbi ˈhæpi/","https://audio.tatoeba.org/sentences/eng/296311.mp3","pending"
"He was made to do so.","/ˈhi ˈwɑz ˈmeɪd ˈtu ˈdu ˈsoʊ/","https://audio.tatoeba.org/sentences/eng/290403.mp3","pending"
"He's eight years old.","/ˈhiz ˈeɪt ˈjɪɹz ˈoʊɫd/","https://audio.tatoeba.org/sentences/eng/2762773.mp3","pending"
"Help him with French.","/ˈhɛɫp ˈhɪm ˈwɪð ˈfɹɛntʃ/","https://audio.tatoeba.org/sentences/eng/1138300.mp3","pending"
"His memory amazes me.","/ˈhɪz ˈmɛmɝi əˈmeɪzɪz ˈmi/","https://audio.tatoeba.org/sentences/eng/285861.mp3","pending"
"How can we kill time?","/ˈhaʊ ˈkæn ˈwi ˈkɪɫ ˈtaɪm/","https://audio.tatoeba.org/sentences/eng/38352.mp3","pending"
"How deep is the lake?","/ˈhaʊ ˈdip ˈɪz ˈðə ˈɫeɪk/","https://audio.tatoeba.org/sentences/eng/239977.mp3","pending"
"How did you get hurt?","/ˈhaʊ ˈdɪd ˈju ˈɡɛt ˈhɝt/","https://audio.tatoeba.org/sentences/eng/1885926.mp3","pending"
"How does that happen?","/ˈhaʊ ˈdəz ˈðæt ˈhæpən/","https://audio.tatoeba.org/sentences/eng/2647164.mp3","pending"
"How is this possible?","/ˈhaʊ ˈɪz ˈðɪs ˈpɑsəbəɫ/","https://audio.tatoeba.org/sentences/eng/1537003.mp3","pending"
"How much did you win?","/ˈhaʊ ˈmətʃ ˈdɪd ˈju ˈwɪn/","https://audio.tatoeba.org/sentences/eng/2912582.mp3","pending"
"How much is an apple?","/ˈhaʊ ˈmətʃ ˈɪz ˈæn ˈæpəɫ/","https://audio.tatoeba.org/sentences/eng/1164077.mp3","pending"
"How was today's game?","/ˈhaʊ ˈwɑz ˈtudeɪz ˈɡeɪm/","https://audio.tatoeba.org/sentences/eng/63132.mp3","pending"
"How will you survive?","/ˈhaʊ ˈwɪɫ ˈju sɝˈvaɪv/","https://audio.tatoeba.org/sentences/eng/4502465.mp3","pending"
