transcript,audio_url,difficulty
"He ran into the room.","https://audio.tatoeba.org/sentences/eng/303395.mp3","pending"
"He seems to be happy.","https://audio.tatoeba.org/sentences/eng/296311.mp3","pending"
"He was made to do so.","https://audio.tatoeba.org/sentences/eng/290403.mp3","pending"
"He's eight years old.","https://audio.tatoeba.org/sentences/eng/2762773.mp3","pending"
"Help him with French.","https://audio.tatoeba.org/sentences/eng/1138300.mp3","pending"
"His memory amazes me.","https://audio.tatoeba.org/sentences/eng/285861.mp3","pending"
"How can we kill time?","https://audio.tatoeba.org/sentences/eng/38352.mp3","pending"
"How deep is the lake?","https://audio.tatoeba.org/sentences/eng/239977.mp3","pending"
"How did you get hurt?","https://audio.tatoeba.org/sentences/eng/1885926.mp3","pending"
"How does that happen?","https://audio.tatoeba.org/sentences/eng/2647164.mp3","pending"
"How is this possible?","https://audio.tatoeba.org/sentences/eng/1537003.mp3","pending"
"How much did you win?","https://audio.tatoeba.org/sentences/eng/2912582.mp3","pending"
"How much is an apple?","https://audio.tatoeba.org/sentences/eng/1164077.mp3","pending"
"How was today's game?","https://audio.tatoeba.org/sentences/eng/63132.mp3","pending"
"How will you survive?","https://audio.tatoeba.org/sentences/eng/4502465.mp3","pending"
"I aim to change that.","https://audio.tatoeba.org/sentences/eng/4667055.mp3","pending"
"I am afraid of dying.","https://audio.tatoeba.org/sentences/eng/246329.mp3","pending"
"I answered the phone.","https://audio.tatoeba.org/sentences/eng/2291868.mp3","pending"
"I asked for a refund.","https://audio.tatoeba.org/sentences/eng/3109106.mp3","pending"
"I blame Tom for that.","https://audio.tatoeba.org/sentences/eng/2057772.mp3","pending"
"I bought her a watch.","https://audio.tatoeba.org/sentences/eng/394667.mp3","pending"
"I can give it a shot.","https://audio.tatoeba.org/sentences/eng/2300729.mp3","pending"
"I can ride a bicycle.","https://audio.tatoeba.org/sentences/eng/258206.mp3","pending"
"I can swim very fast.","https://audio.tatoeba.org/sentences/eng/254910.mp3","pending"
"I can't dance either.","https://audio.tatoeba.org/sentences/eng/1951448.mp3","pending"
"I can't help you now.","https://audio.tatoeba.org/sentences/eng/3259338.mp3","pending"
"I can't speak French.","https://audio.tatoeba.org/sentences/eng/255532.mp3","pending"
"I can't wait all day.","https://audio.tatoeba.org/sentences/eng/2143156.mp3","pending"
"I couldn't fight Tom.","https://audio.tatoeba.org/sentences/eng/2308217.mp3","pending"
"I did what you asked.","https://audio.tatoeba.org/sentences/eng/2314872.mp3","pending"
"I didn't ask you out.","https://audio.tatoeba.org/sentences/eng/2275820.mp3","pending"
"I didn't want to pry.","https://audio.tatoeba.org/sentences/eng/2011544.mp3","pending"
"I don't agree at all.","https://audio.tatoeba.org/sentences/eng/3826816.mp3","pending"
"I don't feel so good.","https://audio.tatoeba.org/sentences/eng/750661.mp3","pending"
"I don't have a fever.","https://audio.tatoeba.org/sentences/eng/1252922.mp3","pending"
"I don't like running.","https://audio.tatoeba.org/sentences/eng/2271881.mp3","pending"
"I don't normally lie.","https://audio.tatoeba.org/sentences/eng/2271899.mp3","pending"
"I don't want a drink.","https://audio.tatoeba.org/sentences/eng/2011547.mp3","pending"
"I don't want to play.","https://audio.tatoeba.org/sentences/eng/2011553.mp3","pending"
"I enjoy working here.","https://audio.tatoeba.org/sentences/eng/2325176.mp3","pending"
"I feel safe with you.","https://audio.tatoeba.org/sentences/eng/2326014.mp3","pending"
"I forgot his address.","https://audio.tatoeba.org/sentences/eng/260664.mp3","pending"
"I go anywhere I want.","https://audio.tatoeba.org/sentences/eng/2329580.mp3","pending"
"I had fun last night.","https://audio.tatoeba.org/sentences/eng/2331654.mp3","pending"
"I had nothing to say.","https://audio.tatoeba.org/sentences/eng/2331708.mp3","pending"
"I hate jealous women.","https://audio.tatoeba.org/sentences/eng/953470.mp3","pending"
"I have a credit card.","https://audio.tatoeba.org/sentences/eng/2635769.mp3","pending"
"I have a slight cold.","https://audio.tatoeba.org/sentences/eng/261594.mp3","pending"
"I have caught a cold.","https://audio.tatoeba.org/sentences/eng/257622.mp3","pending"
"I have got to go now.","https://audio.tatoeba.org/sentences/eng/31381.mp3","pending"
"I have my hands full.","https://audio.tatoeba.org/sentences/eng/3355238.mp3","pending"
"I have some bad news.","https://audio.tatoeba.org/sentences/eng/2360317.mp3","pending"
"I have to go do this.","https://audio.tatoeba.org/sentences/eng/2360508.mp3","pending"
"I heard an explosion.","https://audio.tatoeba.org/sentences/eng/2360730.mp3","pending"
"I held the door open.","https://audio.tatoeba.org/sentences/eng/255142.mp3","pending"
"I just cut my finger.","https://audio.tatoeba.org/sentences/eng/246249.mp3","pending"
"I killed a duck once.","https://audio.tatoeba.org/sentences/eng/2374698.mp3","pending"
"I knew we'd find Tom.","https://audio.tatoeba.org/sentences/eng/2374876.mp3","pending"
"I knew you'd make it.","https://audio.tatoeba.org/sentences/eng/2375808.mp3","pending"
"I know him very well.","https://audio.tatoeba.org/sentences/eng/260890.mp3","pending"
"I know Tom was angry.","https://audio.tatoeba.org/sentences/eng/2376229.mp3","pending"
"I know what you mean.","https://audio.tatoeba.org/sentences/eng/17198.mp3","pending"
"I leave it up to you.","https://audio.tatoeba.org/sentences/eng/2377282.mp3","pending"
"I left home at seven.","https://audio.tatoeba.org/sentences/eng/258354.mp3","pending"
"I like honest people.","https://audio.tatoeba.org/sentences/eng/3821547.mp3","pending"
"I like to read books.","https://audio.tatoeba.org/sentences/eng/2377504.mp3","pending"
"I live in this hotel.","https://audio.tatoeba.org/sentences/eng/488157.mp3","pending"
"I lost that argument.","https://audio.tatoeba.org/sentences/eng/2380196.mp3","pending"
"I love reading books.","https://audio.tatoeba.org/sentences/eng/259747.mp3","pending"
"I made you breakfast.","https://audio.tatoeba.org/sentences/eng/3826031.mp3","pending"
"I met Tom after work.","https://audio.tatoeba.org/sentences/eng/3329924.mp3","pending"
"I miss you very much.","https://audio.tatoeba.org/sentences/eng/18053.mp3","pending"
"I need a new bicycle.","https://audio.tatoeba.org/sentences/eng/269174.mp3","pending"
"I need more practice.","https://audio.tatoeba.org/sentences/eng/2387501.mp3","pending"
"I need you to listen.","https://audio.tatoeba.org/sentences/eng/3830669.mp3","pending"
"I never even saw you.","https://audio.tatoeba.org/sentences/eng/2388088.mp3","pending"
"I only have a minute.","https://audio.tatoeba.org/sentences/eng/1956040.mp3","pending"
"I paid $200 in taxes.","https://audio.tatoeba.org/sentences/eng/259005.mp3","pending"
"I put on my trousers.","https://audio.tatoeba.org/sentences/eng/254041.mp3","pending"
"I rejected the offer.","https://audio.tatoeba.org/sentences/eng/46062.mp3","pending"
"I see we're all here.","https://audio.tatoeba.org/sentences/eng/2406253.mp3","pending"
"I should talk to Tom.","https://audio.tatoeba.org/sentences/eng/2406371.mp3","pending"
"I solved the problem.","https://audio.tatoeba.org/sentences/eng/2406532.mp3","pending"
"I swim in the summer.","https://audio.tatoeba.org/sentences/eng/256458.mp3","pending"
"I think that's awful.","https://audio.tatoeba.org/sentences/eng/2408156.mp3","pending"
"I think Tom has gone.","https://audio.tatoeba.org/sentences/eng/2408247.mp3","pending"
"I think Tom is bossy.","https://audio.tatoeba.org/sentences/eng/3171957.mp3","pending"
"I think Tom is naive.","https://audio.tatoeba.org/sentences/eng/3183888.mp3","pending"
"I think we need help.","https://audio.tatoeba.org/sentences/eng/1016256.mp3","pending"
"I think you're ready.","https://audio.tatoeba.org/sentences/eng/1887796.mp3","pending"
"I thought you'd left.","https://audio.tatoeba.org/sentences/eng/1961829.mp3","pending"
"I traveled by myself.","https://audio.tatoeba.org/sentences/eng/255488.mp3","pending"
"I waited three hours.","https://audio.tatoeba.org/sentences/eng/2547930.mp3","pending"
"I wake up very early.","https://audio.tatoeba.org/sentences/eng/1807309.mp3","pending"
"I want somebody else.","https://audio.tatoeba.org/sentences/eng/276271.mp3","pending"
"I want to take a nap.","https://audio.tatoeba.org/sentences/eng/3374722.mp3","pending"
"I wanted them to win.","https://audio.tatoeba.org/sentences/eng/1700676.mp3","pending"
"I wanted to save Tom.","https://audio.tatoeba.org/sentences/eng/2011584.mp3","pending"
"I was at the library.","https://audio.tatoeba.org/sentences/eng/2547925.mp3","pending"
"I was expecting this.","https://audio.tatoeba.org/sentences/eng/1765274.mp3","pending"
"I was jealous of you.","https://audio.tatoeba.org/sentences/eng/2547916.mp3","pending"
"I was really curious.","https://audio.tatoeba.org/sentences/eng/4066630.mp3","pending"
"I was very concerned.","https://audio.tatoeba.org/sentences/eng/2547903.mp3","pending"
"I will come with you.","https://audio.tatoeba.org/sentences/eng/71246.mp3","pending"
"I wish we could help.","https://audio.tatoeba.org/sentences/eng/2547892.mp3","pending"
"I won't be here long.","https://audio.tatoeba.org/sentences/eng/2547890.mp3","pending"
"I won't marry anyone.","https://audio.tatoeba.org/sentences/eng/2092540.mp3","pending"
"I wouldn't blame you.","https://audio.tatoeba.org/sentences/eng/2547882.mp3","pending"
"I'd like to check in.","https://audio.tatoeba.org/sentences/eng/266036.mp3","pending"
"I'd never betray Tom.","https://audio.tatoeba.org/sentences/eng/3330066.mp3","pending"
"I'd rather stay here.","https://audio.tatoeba.org/sentences/eng/42018.mp3","pending"
"I'll be home by noon.","https://audio.tatoeba.org/sentences/eng/2547861.mp3","pending"
"I'll be watching you.","https://audio.tatoeba.org/sentences/eng/321960.mp3","pending"
"I'll call Tom myself.","https://audio.tatoeba.org/sentences/eng/2547857.mp3","pending"
"I'll find Tom myself.","https://audio.tatoeba.org/sentences/eng/2547845.mp3","pending"
"I'll give you a book.","https://audio.tatoeba.org/sentences/eng/515540.mp3","pending"
"I'll keep you posted.","https://audio.tatoeba.org/sentences/eng/1890915.mp3","pending"
"I'll phone you later.","https://audio.tatoeba.org/sentences/eng/443658.mp3","pending"
"I'll see Tom tonight.","https://audio.tatoeba.org/sentences/eng/2547817.mp3","pending"
"I'll try to find Tom.","https://audio.tatoeba.org/sentences/eng/2547803.mp3","pending"
"I'm a little nervous.","https://audio.tatoeba.org/sentences/eng/1323948.mp3","pending"
"I'm as strong as you.","https://audio.tatoeba.org/sentences/eng/2713647.mp3","pending"
"I'm busy on Saturday.","https://audio.tatoeba.org/sentences/eng/2046702.mp3","pending"
"I'm doing the dishes.","https://audio.tatoeba.org/sentences/eng/759955.mp3","pending"
"I'm feeling fine now.","https://audio.tatoeba.org/sentences/eng/20301.mp3","pending"
"I'm glad to meet you.","https://audio.tatoeba.org/sentences/eng/64228.mp3","pending"
"I'm glad you're safe.","https://audio.tatoeba.org/sentences/eng/2547760.mp3","pending"
"I'm happy to see you.","https://audio.tatoeba.org/sentences/eng/71168.mp3","pending"
"I'm hitting the road.","https://audio.tatoeba.org/sentences/eng/1841631.mp3","pending"
"I'm just cleaning up.","https://audio.tatoeba.org/sentences/eng/2547733.mp3","pending"
"I'm living in Boston.","https://audio.tatoeba.org/sentences/eng/2547729.mp3","pending"
"I'm not a vegetarian.","https://audio.tatoeba.org/sentences/eng/3374664.mp3","pending"
"I'm not feeling well.","https://audio.tatoeba.org/sentences/eng/20288.mp3","pending"
"I'm not ready to die.","https://audio.tatoeba.org/sentences/eng/2547710.mp3","pending"
"I'm not wearing this.","https://audio.tatoeba.org/sentences/eng/2547696.mp3","pending"
"I'm ready to proceed.","https://audio.tatoeba.org/sentences/eng/2547686.mp3","pending"
"I'm sick of fighting.","https://audio.tatoeba.org/sentences/eng/1891117.mp3","pending"
"I'm sure I'll manage.","https://audio.tatoeba.org/sentences/eng/2547674.mp3","pending"
"I'm the one to blame.","https://audio.tatoeba.org/sentences/eng/2057774.mp3","pending"
"I'm walking with her.","https://audio.tatoeba.org/sentences/eng/410763.mp3","pending"
"I've already met Tom.","https://audio.tatoeba.org/sentences/eng/3734670.mp3","pending"
"I've been there once.","https://audio.tatoeba.org/sentences/eng/254086.mp3","pending"
"I've done what I can.","https://audio.tatoeba.org/sentences/eng/2359476.mp3","pending"
"I've got a pacemaker.","https://audio.tatoeba.org/sentences/eng/2236.mp3","pending"
"I've heard the rumor.","https://audio.tatoeba.org/sentences/eng/3374706.mp3","pending"
"I've never needed it.","https://audio.tatoeba.org/sentences/eng/2647148.mp3","pending"
"I've read the report.","https://audio.tatoeba.org/sentences/eng/2360221.mp3","pending"
"Is it open on Sunday?","https://audio.tatoeba.org/sentences/eng/281834.mp3","pending"
"Is she a taxi driver?","https://audio.tatoeba.org/sentences/eng/311544.mp3","pending"
"Is that pencil yours?","https://audio.tatoeba.org/sentences/eng/2821649.mp3","pending"
"Is this your bicycle?","https://audio.tatoeba.org/sentences/eng/55749.mp3","pending"
"Is Tom about to sing?","https://audio.tatoeba.org/sentences/eng/2891473.mp3","pending"
"Isn't that good news?","https://audio.tatoeba.org/sentences/eng/3413286.mp3","pending"
"It doesn't look good.","https://audio.tatoeba.org/sentences/eng/2272034.mp3","pending"
"It is of great value.","https://audio.tatoeba.org/sentences/eng/42241.mp3","pending"
"It looks really good.","https://audio.tatoeba.org/sentences/eng/2396244.mp3","pending"
"It rained for a week.","https://audio.tatoeba.org/sentences/eng/1211536.mp3","pending"
"It was a long letter.","https://audio.tatoeba.org/sentences/eng/42224.mp3","pending"
"It was very exciting.","https://audio.tatoeba.org/sentences/eng/3426395.mp3","pending"
"It won't be pleasant.","https://audio.tatoeba.org/sentences/eng/2272055.mp3","pending"
"It's a beautiful day.","https://audio.tatoeba.org/sentences/eng/318150.mp3","pending"
"It's a piece of cake.","https://audio.tatoeba.org/sentences/eng/21259.mp3","pending"
"It's all over for us.","https://audio.tatoeba.org/sentences/eng/1286499.mp3","pending"
"It's bigger than Tom.","https://audio.tatoeba.org/sentences/eng/2262213.mp3","pending"
"It's good to see you.","https://audio.tatoeba.org/sentences/eng/954081.mp3","pending"
"It's nice to be back.","https://audio.tatoeba.org/sentences/eng/3635991.mp3","pending"
"It's probably a sign.","https://audio.tatoeba.org/sentences/eng/3178628.mp3","pending"
"It's solid as a rock.","https://audio.tatoeba.org/sentences/eng/3635997.mp3","pending"
"It's still not ready.","https://audio.tatoeba.org/sentences/eng/3636264.mp3","pending"
"It's very warm today.","https://audio.tatoeba.org/sentences/eng/2826350.mp3","pending"
"Just close your eyes.","https://audio.tatoeba.org/sentences/eng/1860701.mp3","pending"
"Keep up your courage.","https://audio.tatoeba.org/sentences/eng/264974.mp3","pending"
"Let go of the handle.","https://audio.tatoeba.org/sentences/eng/2877228.mp3","pending"
"Let's check it later.","https://audio.tatoeba.org/sentences/eng/71687.mp3","pending"
"Let's get some sleep.","https://audio.tatoeba.org/sentences/eng/1839553.mp3","pending"
"Let's go by taxi, OK?","https://audio.tatoeba.org/sentences/eng/1290698.mp3","pending"
"Let's not be enemies.","https://audio.tatoeba.org/sentences/eng/1841291.mp3","pending"
"Let's split the bill.","https://audio.tatoeba.org/sentences/eng/502357.mp3","pending"
"Look at that drawing.","https://audio.tatoeba.org/sentences/eng/2647123.mp3","pending"
"Look at that picture.","https://audio.tatoeba.org/sentences/eng/68495.mp3","pending"
"Many of us are upset.","https://audio.tatoeba.org/sentences/eng/2647119.mp3","pending"
"May I ask a question?","https://audio.tatoeba.org/sentences/eng/1594.mp3","pending"
"May I have a blanket?","https://audio.tatoeba.org/sentences/eng/323548.mp3","pending"
"Maybe I'll bring Tom.","https://audio.tatoeba.org/sentences/eng/2262240.mp3","pending"
"Meet me at my office.","https://audio.tatoeba.org/sentences/eng/3413093.mp3","pending"
"My eyes are watering.","https://audio.tatoeba.org/sentences/eng/325981.mp3","pending"
"My French is limited.","https://audio.tatoeba.org/sentences/eng/2547647.mp3","pending"
"My mother was crying.","https://audio.tatoeba.org/sentences/eng/1077694.mp3","pending"
"My suitcase got lost.","https://audio.tatoeba.org/sentences/eng/2635471.mp3","pending"
"My suitcase was lost.","https://audio.tatoeba.org/sentences/eng/2577065.mp3","pending"
"No one has an answer.","https://audio.tatoeba.org/sentences/eng/2891735.mp3","pending"
"Nobody can deny that.","https://audio.tatoeba.org/sentences/eng/4497198.mp3","pending"
"Nobody wants to work.","https://audio.tatoeba.org/sentences/eng/4292135.mp3","pending"
"Nobody will hurt you.","https://audio.tatoeba.org/sentences/eng/3736965.mp3","pending"
"One of them is lying.","https://audio.tatoeba.org/sentences/eng/3166212.mp3","pending"
"People like to fight.","https://audio.tatoeba.org/sentences/eng/1359397.mp3","pending"
"Please do it quickly.","https://audio.tatoeba.org/sentences/eng/38491.mp3","pending"
"Please don't go away.","https://audio.tatoeba.org/sentences/eng/1841589.mp3","pending"
"Please keep in touch.","https://audio.tatoeba.org/sentences/eng/32682.mp3","pending"
"Please open this box.","https://audio.tatoeba.org/sentences/eng/57490.mp3","pending"
"Please shut the door.","https://audio.tatoeba.org/sentences/eng/495837.mp3","pending"
"Price isn't an issue.","https://audio.tatoeba.org/sentences/eng/3147954.mp3","pending"
"Put it on Tom's desk.","https://audio.tatoeba.org/sentences/eng/2647104.mp3","pending"
"See you tomorrow, OK?","https://audio.tatoeba.org/sentences/eng/2647101.mp3","pending"
"She bought a chicken.","https://audio.tatoeba.org/sentences/eng/312081.mp3","pending"
"She felt like crying.","https://audio.tatoeba.org/sentences/eng/313202.mp3","pending"
"She has ten children.","https://audio.tatoeba.org/sentences/eng/310059.mp3","pending"
"She is having dinner.","https://audio.tatoeba.org/sentences/eng/371416.mp3","pending"
"She served me coffee.","https://audio.tatoeba.org/sentences/eng/314147.mp3","pending"
"She sold him her car.","https://audio.tatoeba.org/sentences/eng/886847.mp3","pending"
"She watched him swim.","https://audio.tatoeba.org/sentences/eng/887579.mp3","pending"
"She's gone on a trip.","https://audio.tatoeba.org/sentences/eng/317418.mp3","pending"
"Show me a better one.","https://audio.tatoeba.org/sentences/eng/30429.mp3","pending"
