sentence,phonetic,audio_url,difficulty
"Tom advised me to go there.","/ˈtɑm ædˈvaɪzd ˈmi ˈtu ˈɡoʊ ˈðɛɹ/","https://audio.tatoeba.org/sentences/eng/2955496.mp3","pending"
"Tom and Mary are listening.","/ˈtɑm ˈænd ˈmɛɹi ˈɑɹ ˈɫɪsənɪŋ/","https://audio.tatoeba.org/sentences/eng/2644043.mp3","pending"
"Tom appreciates modern art.","/ˈtɑm əˈpɹiʃiˌeɪts ˈmɑdɝn ˈɑɹt/","https://audio.tatoeba.org/sentences/eng/643677.mp3","pending"
"Tom asked where Mary lived.","/ˈtɑm ˈæskt ˈhwɛɹ ˈmɛɹi ˈɫaɪvd/","https://audio.tatoeba.org/sentences/eng/3732518.mp3","pending"
"Tom can't get Mary to stop.","/ˈtɑm ˈkænt ˈɡɛt ˈmɛɹi ˈtu ˈstɑp/","https://audio.tatoeba.org/sentences/eng/1951656.mp3","pending"
"Tom cares about his health.","/ˈtɑm ˈkɛɹz əˈbaʊt ˈhɪz ˈhɛɫθ/","https://audio.tatoeba.org/sentences/eng/2059852.mp3","pending"
"Tom cut down a cherry tree.","/ˈtɑm ˈkət ˈdaʊn ˈeɪ ˈtʃɛɹi ˈtɹi/","https://audio.tatoeba.org/sentences/eng/2719670.mp3","pending"
"Tom deserves to be captain.","/ˈtɑm dɪˈzɝvz ˈtu ˈbi ˈkæptən/","https://audio.tatoeba.org/sentences/eng/4850158.mp3","pending"
"Tom didn't think I noticed.","/ˈtɑm ˈdɪdən ˈθɪŋk ˈaɪ ˈnoʊtəst/","https://audio.tatoeba.org/sentences/eng/2279386.mp3","pending"
"Tom didn't want to help me.","/ˈtɑm ˈdɪdən ˈwɑnt ˈtu ˈhɛɫp ˈmi/","https://audio.tatoeba.org/sentences/eng/3822637.mp3","pending"
"Tom doesn't drink red wine.","/ˈtɑm ˈdəzən ˈdɹɪŋk ˈɹɛd ˈwaɪn/","https://audio.tatoeba.org/sentences/eng/3733200.mp3","pending"
"Tom doesn't know I'm alive.","/ˈtɑm ˈdəzən ˈnoʊ ˈaɪm əˈɫaɪv/","https://audio.tatoeba.org/sentences/eng/2279408.mp3","pending"
"Tom fastened his seat belt.","/ˈtɑm ˈfæsənd ˈhɪz ˈsit ˈbɛɫt/","https://audio.tatoeba.org/sentences/eng/1868333.mp3","pending"
"Tom fell in love with Mary.","/ˈtɑm ˈfɛɫ ˈɪn ˈɫəv ˈwɪð ˈmɛɹi/","https://audio.tatoeba.org/sentences/eng/1028951.mp3","pending"
"Tom gave Mary his notebook.","/ˈtɑm ˈɡeɪv ˈmɛɹi ˈhɪz ˈnoʊtˌbʊk/","https://audio.tatoeba.org/sentences/eng/2544002.mp3","pending"
"Tom got out of the bathtub.","/ˈtɑm ˈɡɑt ˈaʊt ˈəv ˈðə ˈbæθtəb/","https://audio.tatoeba.org/sentences/eng/1093940.mp3","pending"
"Tom has a beautiful garden.","/ˈtɑm ˈhæz ˈeɪ ˈbjutəfəɫ ˈɡɑɹdən/","https://audio.tatoeba.org/sentences/eng/2045811.mp3","pending"
"Tom has a good imagination.","/ˈtɑm ˈhæz ˈeɪ ˈɡʊd ˌɪˌmædʒəˈneɪʃən/","https://audio.tatoeba.org/sentences/eng/4665933.mp3","pending"
