transcript,audio_url,difficulty
"It's OK with me.","https://audio.tatoeba.org/sentences/eng/253066.mp3","pending"
"It's okay to go.","https://audio.tatoeba.org/sentences/eng/518554.mp3","pending"
"It's time to go.","https://audio.tatoeba.org/sentences/eng/266757.mp3","pending"
"Just do it, Tom.","https://audio.tatoeba.org/sentences/eng/2648994.mp3","pending"
"Lead is a metal.","https://audio.tatoeba.org/sentences/eng/1335021.mp3","pending"
"Let me go alone.","https://audio.tatoeba.org/sentences/eng/27652.mp3","pending"
"Let me taste it.","https://audio.tatoeba.org/sentences/eng/3333981.mp3","pending"
"Let us help Tom.","https://audio.tatoeba.org/sentences/eng/3333884.mp3","pending"
"Let's get a cab.","https://audio.tatoeba.org/sentences/eng/1894546.mp3","pending"
"Let's go to bed.","https://audio.tatoeba.org/sentences/eng/1617818.mp3","pending"
"Life can be fun.","https://audio.tatoeba.org/sentences/eng/4495312.mp3","pending"
"Look at the sky.","https://audio.tatoeba.org/sentences/eng/2648989.mp3","pending"
"May I borrow it?","https://audio.tatoeba.org/sentences/eng/2322084.mp3","pending"
"My book is here.","https://audio.tatoeba.org/sentences/eng/3107608.mp3","pending"
"My suit is gray.","https://audio.tatoeba.org/sentences/eng/456473.mp3","pending"
"No one can tell.","https://audio.tatoeba.org/sentences/eng/276491.mp3","pending"
"No one has come.","https://audio.tatoeba.org/sentences/eng/4496720.mp3","pending"
"Now go have fun.","https://audio.tatoeba.org/sentences/eng/2852133.mp3","pending"
"Now we know why.","https://audio.tatoeba.org/sentences/eng/4500505.mp3","pending"
"Pick me up 2:30.","https://audio.tatoeba.org/sentences/eng/3732155.mp3","pending"
"Put your hat on.","https://audio.tatoeba.org/sentences/eng/321117.mp3","pending"
"See you at work.","https://audio.tatoeba.org/sentences/eng/2648980.mp3","pending"
"She got up late.","https://audio.tatoeba.org/sentences/eng/313150.mp3","pending"
"She is not tall.","https://audio.tatoeba.org/sentences/eng/437589.mp3","pending"
"She talks a lot.","https://audio.tatoeba.org/sentences/eng/312397.mp3","pending"
"She's on a roll.","https://audio.tatoeba.org/sentences/eng/317636.mp3","pending"
"Show me the way.","https://audio.tatoeba.org/sentences/eng/3333872.mp3","pending"
"Slow down a bit.","https://audio.tatoeba.org/sentences/eng/4502185.mp3","pending"
"Stay in the car.","https://audio.tatoeba.org/sentences/eng/2173236.mp3","pending"
"Talk to my boss.","https://audio.tatoeba.org/sentences/eng/2648976.mp3","pending"
"That dog is big.","https://audio.tatoeba.org/sentences/eng/68734.mp3","pending"
"That must be so.","https://audio.tatoeba.org/sentences/eng/3735297.mp3","pending"
"That's all I do.","https://audio.tatoeba.org/sentences/eng/3334027.mp3","pending"
"The dog is dead.","https://audio.tatoeba.org/sentences/eng/508844.mp3","pending"
"The light is on.","https://audio.tatoeba.org/sentences/eng/322968.mp3","pending"
"The sun has set.","https://audio.tatoeba.org/sentences/eng/1841571.mp3","pending"
"The well is dry.","https://audio.tatoeba.org/sentences/eng/49620.mp3","pending"
"They all did it.","https://audio.tatoeba.org/sentences/eng/1619865.mp3","pending"
"They had a boat.","https://audio.tatoeba.org/sentences/eng/3128592.mp3","pending"
"They told me so.","https://audio.tatoeba.org/sentences/eng/3735298.mp3","pending"
"This dog is big.","https://audio.tatoeba.org/sentences/eng/59419.mp3","pending"
"This is my book.","https://audio.tatoeba.org/sentences/eng/463306.mp3","pending"
"This is my fate.","https://audio.tatoeba.org/sentences/eng/1797653.mp3","pending"
"This is the end.","https://audio.tatoeba.org/sentences/eng/56074.mp3","pending"
"This is too big.","https://audio.tatoeba.org/sentences/eng/55535.mp3","pending"
"Tom also saw it.","https://audio.tatoeba.org/sentences/eng/2955510.mp3","pending"
"Tom bit his lip.","https://audio.tatoeba.org/sentences/eng/1960907.mp3","pending"
"Tom can help me.","https://audio.tatoeba.org/sentences/eng/2648964.mp3","pending"
"Tom cried a lot.","https://audio.tatoeba.org/sentences/eng/2648957.mp3","pending"
"Tom died in bed.","https://audio.tatoeba.org/sentences/eng/2956614.mp3","pending"
"Tom fed the dog.","https://audio.tatoeba.org/sentences/eng/2549471.mp3","pending"
"Tom got the job.","https://audio.tatoeba.org/sentences/eng/4667257.mp3","pending"
