sentence,phonetic,audio_url,difficulty
"Are you a student?","/ˈɑɹ ˈju ˈeɪ ˈstudənt/","https://audio.tatoeba.org/sentences/eng/69521.mp3","pending"
"Are you all right?","/ˈɑɹ ˈju ˈɔɫ ˈɹaɪt/","https://audio.tatoeba.org/sentences/eng/275743.mp3","pending"
"Are you going out?","/ˈɑɹ ˈju ˈɡoʊɪn ˈaʊt/","https://audio.tatoeba.org/sentences/eng/1886346.mp3","pending"
"Are you hurt, Tom?","/ˈɑɹ ˈju ˈhɝt ˈtɑm/","https://audio.tatoeba.org/sentences/eng/2648577.mp3","pending"
"Are you mad at me?","/ˈɑɹ ˈju ˈmæd ˈæt ˈmi/","https://audio.tatoeba.org/sentences/eng/2670830.mp3","pending"
"Are you ready now?","/ˈɑɹ ˈju ˈɹɛdi ˈnaʊ/","https://audio.tatoeba.org/sentences/eng/3393032.mp3","pending"
"Are your eyes bad?","/ˈɑɹ ˈjɔɹ ˈaɪz ˈbæd/","https://audio.tatoeba.org/sentences/eng/68892.mp3","pending"
"Beware of the dog!","/bɪˈwɛɹ ˈəv ˈðə ˈdɔɡ/","https://audio.tatoeba.org/sentences/eng/323550.mp3","pending"
"Boys will be boys.","/ˈbɔɪz ˈwɪɫ ˈbi ˈbɔɪz/","https://audio.tatoeba.org/sentences/eng/276817.mp3","pending"
"Can I have a bite?","/ˈkæn ˈaɪ ˈhæv ˈeɪ ˈbaɪt/","https://audio.tatoeba.org/sentences/eng/27796.mp3","pending"
"Can I talk to you?","/ˈkæn ˈaɪ ˈtɔk ˈtu ˈju/","https://audio.tatoeba.org/sentences/eng/1886271.mp3","pending"
"Can you handle it?","/ˈkæn ˈju ˈhændəɫ ˈɪt/","https://audio.tatoeba.org/sentences/eng/322177.mp3","pending"
"Can't you do that?","/ˈkænt ˈju ˈdu ˈðæt/","https://audio.tatoeba.org/sentences/eng/2648570.mp3","pending"
"Check it out, Tom.","/ˈtʃɛk ˈɪt ˈaʊt ˈtɑm/","https://audio.tatoeba.org/sentences/eng/2648569.mp3","pending"
"Clean up the room.","/ˈkɫin ˈəp ˈðə ˈɹum/","https://audio.tatoeba.org/sentences/eng/319618.mp3","pending"
"Come on, admit it.","/ˈkəm ˈɑn ədˈmɪt ˈɪt/","https://audio.tatoeba.org/sentences/eng/3549697.mp3","pending"
"Could you help me?","/ˈkʊd ˈju ˈhɛɫp ˈmi/","https://audio.tatoeba.org/sentences/eng/64405.mp3","pending"
"Did I fall asleep?","/ˈdɪd ˈaɪ ˈfɑɫ əˈsɫip/","https://audio.tatoeba.org/sentences/eng/763535.mp3","pending"
"Did Tom know that?","/ˈdɪd ˈtɑm ˈnoʊ ˈðæt/","https://audio.tatoeba.org/sentences/eng/3738667.mp3","pending"
"Did you hear that?","/ˈdɪd ˈju ˈhiɹ ˈðæt/","https://audio.tatoeba.org/sentences/eng/1627230.mp3","pending"
"Did you mean this?","/ˈdɪd ˈju ˈmin ˈðɪs/","https://audio.tatoeba.org/sentences/eng/3738487.mp3","pending"
"Did you want this?","/ˈdɪd ˈju ˈwɑnt ˈðɪs/","https://audio.tatoeba.org/sentences/eng/2011358.mp3","pending"
"Do ants have ears?","/ˈdu ˈænts ˈhæv ˈiɹz/","https://audio.tatoeba.org/sentences/eng/1848295.mp3","pending"
"Do you drink wine?","/ˈdu ˈju ˈdɹɪŋk ˈwaɪn/","https://audio.tatoeba.org/sentences/eng/1120106.mp3","pending"
"Do you have a bag?","/ˈdu ˈju ˈhæv ˈeɪ ˈbæɡ/","https://audio.tatoeba.org/sentences/eng/1245267.mp3","pending"
"Do you have a map?","/ˈdu ˈju ˈhæv ˈeɪ ˈmæp/","https://audio.tatoeba.org/sentences/eng/434544.mp3","pending"
"Do you have money?","/ˈdu ˈju ˈhæv ˈməni/","https://audio.tatoeba.org/sentences/eng/685841.mp3","pending"
"Do you like pears?","/ˈdu ˈju ˈɫaɪk ˈpɛɹz/","https://audio.tatoeba.org/sentences/eng/3821558.mp3","pending"
"Do you play chess?","/ˈdu ˈju ˈpɫeɪ ˈtʃɛs/","https://audio.tatoeba.org/sentences/eng/2050551.mp3","pending"
"Do you want a car?","/ˈdu ˈju ˈwɑnt ˈeɪ ˈkɑɹ/","https://audio.tatoeba.org/sentences/eng/265422.mp3","pending"
"Does it hurt much?","/ˈdəz ˈɪt ˈhɝt ˈmətʃ/","https://audio.tatoeba.org/sentences/eng/4014264.mp3","pending"
"Don't be an idiot.","/ˈdoʊn ˈbi ˈæn ˈɪˌdiət/","https://audio.tatoeba.org/sentences/eng/1112467.mp3","pending"
"Don't count on it.","/ˈdoʊn ˈkaʊnt ˈɑn ˈɪt/","https://audio.tatoeba.org/sentences/eng/2270343.mp3","pending"
"Don't do that, OK?","/ˈdoʊn ˈdu ˈðæt ˈoʊˈkeɪ/","https://audio.tatoeba.org/sentences/eng/2270354.mp3","pending"
"Don't go home yet.","/ˈdoʊn ˈɡoʊ ˈhoʊm ˈjɛt/","https://audio.tatoeba.org/sentences/eng/2270395.mp3","pending"
"Don't look for me.","/ˈdoʊn ˈɫʊk ˈfɔɹ ˈmi/","https://audio.tatoeba.org/sentences/eng/2070469.mp3","pending"
"Don't shout at me.","/ˈdoʊn ˈʃaʊt ˈæt ˈmi/","https://audio.tatoeba.org/sentences/eng/2271335.mp3","pending"
"Don't wake him up.","/ˈdoʊn ˈweɪk ˈhɪm ˈəp/","https://audio.tatoeba.org/sentences/eng/1013092.mp3","pending"
"Eat what you want.","/ˈit ˈhwət ˈju ˈwɑnt/","https://audio.tatoeba.org/sentences/eng/2741784.mp3","pending"
"Feel free to stay.","/ˈfiɫ ˈfɹi ˈtu ˈsteɪ/","https://audio.tatoeba.org/sentences/eng/810296.mp3","pending"
"Get me some water.","/ˈɡɛt ˈmi ˈsəm ˈwɔtɝ/","https://audio.tatoeba.org/sentences/eng/1886964.mp3","pending"
"Get out of my way.","/ˈɡɛt ˈaʊt ˈəv ˈmaɪ ˈweɪ/","https://audio.tatoeba.org/sentences/eng/1358589.mp3","pending"
"Give me your book.","/ˈɡɪv ˈmi ˈjɔɹ ˈbʊk/","https://audio.tatoeba.org/sentences/eng/1572927.mp3","pending"
"Give Tom a moment.","/ˈɡɪv ˈtɑm ˈeɪ ˈmoʊmənt/","https://audio.tatoeba.org/sentences/eng/2648540.mp3","pending"
"Go wash your face.","/ˈɡoʊ ˈwɑʃ ˈjɔɹ ˈfeɪs/","https://audio.tatoeba.org/sentences/eng/3824795.mp3","pending"
"Have you seen Tom?","/ˈhæv ˈju ˈsin ˈtɑm/","https://audio.tatoeba.org/sentences/eng/1885966.mp3","pending"
"He began to shout.","/ˈhi biˈɡæn ˈtu ˈʃaʊt/","https://audio.tatoeba.org/sentences/eng/295293.mp3","pending"
"He came to see me.","/ˈhi ˈkeɪm ˈtu ˈsi ˈmi/","https://audio.tatoeba.org/sentences/eng/297579.mp3","pending"
"He dropped a vase.","/ˈhi ˈdɹɑpt ˈeɪ ˈvɑz/","https://audio.tatoeba.org/sentences/eng/294506.mp3","pending"
"He has three sons.","/ˈhi ˈhæz ˈθɹi ˈsənz/","https://audio.tatoeba.org/sentences/eng/430778.mp3","pending"
"He is a physicist.","/ˈhi ˈɪz ˈeɪ ˈfɪzɪsɪst/","https://audio.tatoeba.org/sentences/eng/303490.mp3","pending"
"He is on the team.","/ˈhi ˈɪz ˈɑn ˈðə ˈtim/","https://audio.tatoeba.org/sentences/eng/290508.mp3","pending"
"He isn't here now.","/ˈhi ˈɪzən ˈhiɹ ˈnaʊ/","https://audio.tatoeba.org/sentences/eng/591771.mp3","pending"
"He made me a suit.","/ˈhi ˈmeɪd ˈmi ˈeɪ ˈsut/","https://audio.tatoeba.org/sentences/eng/250175.mp3","pending"
"He sat on the bed.","/ˈhi ˈsæt ˈɑn ˈðə ˈbɛd/","https://audio.tatoeba.org/sentences/eng/292659.mp3","pending"
"He told the truth.","/ˈhi ˈtoʊɫd ˈðə ˈtɹuθ/","https://audio.tatoeba.org/sentences/eng/299984.mp3","pending"
"He was very happy.","/ˈhi ˈwɑz ˈvɛɹi ˈhæpi/","https://audio.tatoeba.org/sentences/eng/292094.mp3","pending"
"He's a big coward.","/ˈhiz ˈeɪ ˈbɪɡ ˈkaʊɝd/","https://audio.tatoeba.org/sentences/eng/1207551.mp3","pending"
"Her eyes are blue.","/ˈhɝ ˈaɪz ˈɑɹ ˈbɫu/","https://audio.tatoeba.org/sentences/eng/471891.mp3","pending"
"Here's what to do.","/ˈhɪɹz ˈhwət ˈtu ˈdu/","https://audio.tatoeba.org/sentences/eng/2891235.mp3","pending"
"How are you doing?","/ˈhaʊ ˈɑɹ ˈju ˈduɪŋ/","https://audio.tatoeba.org/sentences/eng/38926.mp3","pending"
"How can kids help?","/ˈhaʊ ˈkæn ˈkɪdz ˈhɛɫp/","https://audio.tatoeba.org/sentences/eng/4499354.mp3","pending"
"How do we find it?","/ˈhaʊ ˈdu ˈwi ˈfaɪnd ˈɪt/","https://audio.tatoeba.org/sentences/eng/1446565.mp3","pending"
"How old do I look?","/ˈhaʊ ˈoʊɫd ˈdu ˈaɪ ˈɫʊk/","https://audio.tatoeba.org/sentences/eng/1487664.mp3","pending"
"How should I know?","/ˈhaʊ ˈʃʊd ˈaɪ ˈnoʊ/","https://audio.tatoeba.org/sentences/eng/25498.mp3","pending"
"How was your trip?","/ˈhaʊ ˈwɑz ˈjɔɹ ˈtɹɪp/","https://audio.tatoeba.org/sentences/eng/1140188.mp3","pending"
"I agreed with Tom.","/ˈaɪ əˈɡɹid ˈwɪð ˈtɑm/","https://audio.tatoeba.org/sentences/eng/4530157.mp3","pending"
"I am the same age.","/ˈaɪ ˈæm ˈðə ˈseɪm ˈeɪdʒ/","https://audio.tatoeba.org/sentences/eng/259716.mp3","pending"
"I beg your pardon?","/ˈaɪ ˈbɛɡ ˈjɔɹ ˈpɑɹdən/","https://audio.tatoeba.org/sentences/eng/24940.mp3","pending"
"I bought a ticket.","/ˈaɪ ˈbɑt ˈeɪ ˈtɪkət/","https://audio.tatoeba.org/sentences/eng/3090977.mp3","pending"
